 tablename |                          policyname                           | permissive  |        roles         |  cmd   |                                                                                                          qual                                                                                                          |                                                        with_check                                                        
-----------+---------------------------------------------------------------+-------------+----------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------
 battles   | Admins update battles                                         | PERMISSIVE  | {authenticated}      | UPDATE | has_role(auth.uid(), 'admin'::app_role)                                                                                                                                                                                | has_role(auth.uid(), 'admin'::app_role)
 battles   | Participants accept or decline pending battle                 | PERMISSIVE  | {authenticated}      | UPDATE | ((auth.uid() = challenger_id) OR (auth.uid() = opponent_id))                                                                                                                                                           | (((auth.uid() = challenger_id) OR (auth.uid() = opponent_id)) AND (challenger_id = ( SELECT b.challenger_id             +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id))) AND (opponent_id = ( SELECT b.opponent_id                                                 +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id))) AND (challenger_post_id = ( SELECT b.challenger_post_id                                   +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id))) AND (NOT (winner_id IS DISTINCT FROM ( SELECT b.winner_id                                 +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id)))) AND (challenger_votes = ( SELECT b.challenger_votes                                      +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id))) AND (opponent_votes = ( SELECT b.opponent_votes                                           +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id))) AND (created_at = ( SELECT b.created_at                                                   +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |    FROM battles b                                                                                                       +
           |                                                               |             |                      |        |                                                                                                                                                                                                                        |   WHERE (b.id = battles.id))))
 battles   | Public active battles readable by anon                        | PERMISSIVE  | {anon}               | SELECT | (status = ANY (ARRAY['active'::battle_status, 'completed'::battle_status]))                                                                                                                                            | 
 battles   | Public and participant battles readable by authenticated      | PERMISSIVE  | {authenticated}      | SELECT | ((status = ANY (ARRAY['active'::battle_status, 'completed'::battle_status])) OR (auth.uid() = challenger_id) OR (auth.uid() = opponent_id) OR is_any_admin(auth.uid()) OR has_role(auth.uid(), 'moderator'::app_role)) | 
 battles   | Users create battles as challenger                            | PERMISSIVE  | {public}             | INSERT |                                                                                                                                                                                                                        | (auth.uid() = challenger_id)
 battles   | battles: no deletes                                           | RESTRICTIVE | {anon,authenticated} | DELETE | false                                                                                                                                                                                                                  | 
 comments  | Comments viewable by everyone                                 | PERMISSIVE  | {public}             | SELECT | ((is_removed = false) OR (auth.uid() = user_id) OR has_role(auth.uid(), 'moderator'::app_role))                                                                                                                        | 
 comments  | Users can comment as themselves                               | PERMISSIVE  | {public}             | INSERT |                                                                                                                                                                                                                        | (auth.uid() = user_id)
 comments  | Users can delete own comments                                 | PERMISSIVE  | {public}             | DELETE | ((auth.uid() = user_id) OR has_role(auth.uid(), 'moderator'::app_role))                                                                                                                                                | 
 comments  | Users can update own comments                                 | PERMISSIVE  | {public}             | UPDATE | ((auth.uid() = user_id) OR has_role(auth.uid(), 'moderator'::app_role))                                                                                                                                                | 
 comments  | comments respect hide_comments                                | RESTRICTIVE | {authenticated}      | INSERT |                                                                                                                                                                                                                        | (comments_allowed_on(post_id) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'moderator'::app_role))
 comments  | users update own comments                                     | PERMISSIVE  | {authenticated}      | UPDATE | (auth.uid() = user_id)                                                                                                                                                                                                 | (auth.uid() = user_id)
 posts     | Posts: deny mutation of protected fields                      | RESTRICTIVE | {authenticated}      | UPDATE | (has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'moderator'::app_role) OR (auth.uid() = user_id))                                                                                                     | (has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'moderator'::app_role) OR (auth.uid() = user_id))
 posts     | Users can insert their own posts                              | PERMISSIVE  | {public}             | INSERT |                                                                                                                                                                                                                        | (auth.uid() = user_id)
 posts     | Users can update their own posts                              | PERMISSIVE  | {public}             | UPDATE | ((auth.uid() = user_id) OR has_role(auth.uid(), 'moderator'::app_role) OR has_role(auth.uid(), 'admin'::app_role))                                                                                                     | 
 posts     | Users/mods can delete posts                                   | PERMISSIVE  | {public}             | DELETE | ((auth.uid() = user_id) OR has_role(auth.uid(), 'moderator'::app_role) OR has_role(auth.uid(), 'admin'::app_role))                                                                                                     | 
 posts     | posts_admin_read_any                                          | PERMISSIVE  | {authenticated}      | SELECT | (has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'moderator'::app_role))                                                                                                                               | 
 posts     | posts_owner_read_any                                          | PERMISSIVE  | {authenticated}      | SELECT | (user_id = auth.uid())                                                                                                                                                                                                 | 
 posts     | posts_public_read_approved                                    | PERMISSIVE  | {public}             | SELECT | ((is_removed = false) AND (is_archived = false) AND (publish_status = 'approved'::text) AND ((scheduled_for IS NULL) OR (scheduled_for <= now())) AND can_view_posts_of(user_id))                                      | 
 profiles  | Public active profiles readable by anon                       | PERMISSIVE  | {anon}               | SELECT | ((NOT is_banned) AND (NOT is_suspended) AND (deactivated_at IS NULL) AND (deletion_requested_at IS NULL))                                                                                                              | 
 profiles  | Public, own, and moderated profiles readable by authenticated | PERMISSIVE  | {authenticated}      | SELECT | ((id = auth.uid()) OR ((NOT is_banned) AND (NOT is_suspended) AND (deactivated_at IS NULL) AND (deletion_requested_at IS NULL)) OR is_any_admin(auth.uid()) OR has_role(auth.uid(), 'moderator'::app_role))            | 
 profiles  | Users can insert their own profile                            | PERMISSIVE  | {public}             | INSERT |                                                                                                                                                                                                                        | (auth.uid() = id)
 profiles  | Users can update their own profile                            | PERMISSIVE  | {public}             | UPDATE | (auth.uid() = id)                                                                                                                                                                                                      | 
 votes     | Admins can read all votes                                     | PERMISSIVE  | {authenticated}      | SELECT | has_role(auth.uid(), 'admin'::app_role)                                                                                                                                                                                | 
 votes     | Users can remove their own vote                               | PERMISSIVE  | {public}             | DELETE | (auth.uid() = user_id)                                                                                                                                                                                                 | 
 votes     | Users can see their own votes                                 | PERMISSIVE  | {authenticated}      | SELECT | (auth.uid() = user_id)                                                                                                                                                                                                 | 
 votes     | Users can vote as themselves                                  | PERMISSIVE  | {public}             | INSERT |                                                                                                                                                                                                                        | (auth.uid() = user_id)
(27 rows)

