username,category,reserved_reason,reservation_policy,source_label,priority,is_active,requires_identity_verification
accountrecovery,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
accountsecurity,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
adminteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
bank,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
banking,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
billingteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
bitcoin,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
cashapp,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
cia,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
claimprize,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
crownmeadmin,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
crownmecare,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
crownmeservice,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
crownmeverification,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
crownmeverify,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
crypto,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
customerhelp,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
customerservice,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
customersupport,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
emergency911,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
ethereum,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
fbi,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
federal,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
forex,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
freegift,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
freegifts,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
freemoney,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
giveaway,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
giveaways,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
government,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
homelandsecurity,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
invest,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
investment,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
irs,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
loan,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
loans,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
moderatorteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
officialhelp,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
officialsecurity,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
officialsupport,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
paymentteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
paypal,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
police,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
prize,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
prizes,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
refundteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
secretservice,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
securityteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
sheriff,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
statepolice,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
supportteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
tax,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
taxes,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
trading,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
venmo,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
verificationteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
verifiedteam,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
winnernotification,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
zelle,anti_impersonation,"High-risk phishing, scam, authority, or support-impersonation handle.",blocked,anti_scam,99,True,False
3m,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
3mofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
abbvie,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
abbvieofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
abc,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
abcofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
activisionblizzard,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
activisionblizzardofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
adidas,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
adidasofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
adm,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
admofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
adobe,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
adobeofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
advanceautoparts,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
advanceautopartsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
airbnb,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
airbnbofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
alaskaairlines,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
alaskaairlinesofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
albertsons,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
albertsonsofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
allstate,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
allstateofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
alphabet,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
alphabetofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
amazon,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
amazonofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
amd,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
amdofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
americanairlines,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
americanairlinesofficial,brand_company,Official company-name variant.,protected_identity,2026_major_brand_seed,88,True,True
americanexpress,brand_company,Protected company or major brand namespace; release only after verification.,protected_identity,2026_major_brand_seed,90,True,True
